mean_voltage,std_dev_voltage,mean_current,std_dev_current,label,kondisi
301.8212,4.156236346916349,0.04999999999999999,0.0028571428571428567,1,Normal
301.67019999999997,4.133586420274474,0.050199999999999995,0.003187987657774485,1,Normal
301.67060000000004,4.133067946823669,0.050199999999999995,0.003187987657774485,1,Normal
301.6196,4.137976908823825,0.050199999999999995,0.003187987657774485,1,Normal
301.5608,4.094835393267863,0.050199999999999995,0.003187987657774485,1,Normal
301.57219999999995,4.089003316512347,0.050199999999999995,0.003187987657774485,1,Normal
301.43679999999995,4.050283658496737,0.050199999999999995,0.003187987657774485,1,Normal
301.6242,4.181967162345824,0.050199999999999995,0.003187987657774485,1,Normal
301.67499999999995,4.17576987891247,0.050199999999999995,0.003187987657774485,1,Normal
301.4312,4.271081992628463,0.050199999999999995,0.003187987657774485,1,Normal
301.3044,4.394350343199269,0.050199999999999995,0.003187987657774485,1,Normal
301.4428,4.287853770732356,0.050199999999999995,0.003187987657774485,1,Normal
301.56059999999997,4.39099096713594,0.050199999999999995,0.003187987657774485,1,Normal
301.54760000000005,4.395155292002359,0.050199999999999995,0.003187987657774485,1,Normal
301.74559999999997,4.409996603265852,0.050199999999999995,0.003187987657774485,1,Normal
301.7294,4.419180092944569,0.04999999999999999,0.0028571428571428567,1,Normal
301.7984,4.357749540901186,0.0498,0.003187987657774485,1,Normal
301.6558,4.307442581374329,0.0498,0.0031879876577744853,1,Normal
301.83119999999997,4.42474426333527,0.04979999999999998,0.003187987657774485,1,Normal
302.12300000000005,4.381322254054997,0.04999999999999999,0.0028571428571428567,1,Normal
302.0556,4.394086081291073,0.04999999999999999,0.0028571428571428567,1,Normal
302.11140000000006,4.385155390167877,0.04999999999999999,0.0028571428571428567,1,Normal
301.9426,4.2961491109682735,0.04999999999999999,0.0028571428571428567,1,Normal
301.94000000000005,4.30068338186159,0.04999999999999999,0.0028571428571428567,1,Normal
301.81960000000004,4.270289365523858,0.04999999999999999,0.0028571428571428567,1,Normal
301.819,4.2701924871779555,0.04999999999999999,0.0028571428571428567,1,Normal
301.96819999999997,4.315459958458803,0.04999999999999999,0.0028571428571428567,1,Normal
301.9696,4.314856140151617,0.0498,0.0031879876577744853,1,Normal
302.08639999999997,4.353135749909814,0.049800000000000004,0.003187987657774485,1,Normal
301.845,4.417769429779456,0.04979999999999998,0.003187987657774485,1,Normal
301.67400000000004,4.302696354423278,0.04979999999999998,0.003187987657774485,1,Normal
301.6008,4.252536261228262,0.04979999999999998,0.003187987657774485,1,Normal
301.4764,4.212003624240164,0.0498,0.003187987657774485,1,Normal
301.5468,4.1993364101622435,0.04979999999999998,0.003187987657774485,1,Normal
301.4834,4.253524641700228,0.04979999999999998,0.003187987657774485,1,Normal
301.32259999999997,4.133123940822984,0.05,0.0028571428571428567,1,Normal
301.3354,4.155849189972604,0.0498,0.0024660966430902955,1,Normal
301.20880000000005,4.280407495382961,0.0498,0.0024660966430902955,1,Normal
301.19960000000003,4.2835956477554475,0.0498,0.0024660966430902955,1,Normal
301.3342,4.340233272203567,0.0498,0.0024660966430902955,1,Normal
301.2104,4.220028996902025,0.0498,0.0024660966430902955,1,Normal
301.2294,4.210117265321137,0.0498,0.0024660966430902955,1,Normal
301.36220000000003,4.345512952037602,0.0498,0.0024660966430902955,1,Normal
301.2984,4.350982230180556,0.04979999999999998,0.0024660966430902955,1,Normal
301.29740000000004,4.351297160570841,0.04999999999999999,0.0028571428571428567,1,Normal
301.2854,4.3475286012602075,0.04999999999999999,0.0028571428571428567,1,Normal
301.3058,4.3376750520460705,0.04999999999999999,0.0028571428571428567,1,Normal
301.30859999999996,4.3385594383389545,0.05,0.0028571428571428567,1,Normal
301.4806,4.226902860951313,0.05,0.0028571428571428567,1,Normal
301.5368,4.226038546430734,0.04999999999999999,0.0028571428571428567,1,Normal
301.36839999999995,4.096062001284572,0.04999999999999999,0.0028571428571428567,1,Normal
301.39639999999997,4.081370698124617,0.0498,0.002466096643090295,1,Normal
301.4656,4.024380880258202,0.0498,0.002466096643090295,1,Normal
301.5268,4.024595018287495,0.04979999999999998,0.0024660966430902955,1,Normal
301.3942,4.081199348530897,0.04979999999999998,0.0024660966430902955,1,Normal
301.4006,4.078898615848081,0.04979999999999998,0.0024660966430902955,1,Normal
301.4054,4.076468664850773,0.04979999999999998,0.0024660966430902955,1,Normal
301.2808,3.9306414494432924,0.04979999999999998,0.0024660966430902955,1,Normal
301.1228,4.041139483676683,0.04979999999999998,0.0024660966430902955,1,Normal
301.17960000000005,3.9557439301370807,0.04979999999999998,0.0024660966430902955,1,Normal
301.3566,3.8270351981871413,0.04979999999999998,0.0024660966430902955,1,Normal
301.4952,3.957806153795362,0.04979999999999998,0.0024660966430902955,1,Normal
301.33279999999996,3.8432665952870098,0.04979999999999998,0.0024660966430902955,1,Normal
301.26640000000003,3.897701970784998,0.04999999999999999,0.0028571428571428567,1,Normal
301.01259999999996,3.9350309544201707,0.04999999999999999,0.0028571428571428567,1,Normal
301.03700000000003,3.9253078652170346,0.04999999999999999,0.0028571428571428567,1,Normal
301.2178,4.066249984786416,0.050199999999999995,0.0024660966430902946,1,Normal
301.10220000000004,4.191666801098173,0.050199999999999995,0.0024660966430902946,1,Normal
300.98519999999996,4.04612247739003,0.050199999999999995,0.0024660966430902946,1,Normal
300.6922,4.011518258053164,0.050199999999999995,0.0024660966430902946,1,Normal
300.69159999999994,4.011688717653322,0.050199999999999995,0.0024660966430902946,1,Normal
300.63879999999995,4.000865539008341,0.050199999999999995,0.0024660966430902946,1,Normal
